EpicID	Title	Description	Why	Priority	DependsOn	AcceptanceCriteria
	E01	Project Scaffolding & Domain Setup	Initialize Spring Boot (Maven) project; configure base packages; set up core modules (employee, scheduling, attendance, safety); add Flyway/Liquibase for DB migrations; enable Actuator.	Provide a standardized foundation to accelerate delivery and enforce consistency across modules.	High		Project builds and runs on port 8080; README has build/run steps; Actuator health endpoint returns UP; base package structure created; Flyway/Liquibase runs baseline migration.
	E02	Employee Master Data (CRUD)	Create Employee domain with CRUD APIs and web DTOs: name, badgeId, role, department, shiftGroup, hireDate, status.	Single source of truth for warehouse employee records across systems.	High	E01	POST/GET/PUT/PATCH/DELETE /employees; unique badgeId enforced; soft-delete supported; pagination and filtering; OpenAPI schemas with examples.
	E03	RoleâBased Access Control (RBAC)	Add Spring Security with roles (ADMIN, HR, SUPERVISOR, WORKER); method/endpoint security and row-level constraints where applicable; API key/OAuth2 toggle via config.	Protect PII and restrict sensitive operations to authorized roles.	High	E01,E02	Unauthorized requests return 401; forbidden actions return 403; ADMIN can manage all records; SUPERVISOR limited to team; security rules covered by tests.
	E04	Time & Attendance (Clock In/Out)	Endpoints for clock-in/out events with geofence (optional) and device capture; calculate hours worked per shift; handle missed punches and corrections workflow.	Accurate time capture for payroll and compliance.	High	E02,E03	POST /attendance/clock-in and /clock-out with validation; automatic shift association; daily totals computed; corrections create approval tasks; reports exportable (CSV).
	E05	Shift & Schedule Management	Create recurring shift templates, rotations, overtime rules, and assignment to employees; handle blackout dates and warehouse operation calendars.	Ensure adequate staffing and reduce scheduling conflicts.	High	E02,E03,E04	CRUD for shift templates and schedules; conflicts detected and prevented; workers see personal upcoming shifts; supervisors can bulk-assign; audit entries generated.
	E06	Leave & Absence Management	Request/approve PTO, sick, unpaid leave; accrual balances and policies; integration hooks to exclude from scheduling and payroll hours.	Compliant handling of time off and accurate staffing plans.	Medium	E02,E03,E05	Employees can request leave; supervisors approve/deny; balances update; scheduled shifts auto-flag for coverage; exports show approved leaves.
	E07	Training & Certification Tracking	Track required certifications (e.g., forklift), expirations, renewals; block assignment to tasks requiring expired certs; upload proof documents.	Safety and compliance; assign qualified staff to equipment-sensitive roles.	High	E02,E03	CRUD for certifications; alerts 30/7 days before expiry; scheduling checks block unqualified assignments; certification status visible on employee profile.
	E08	Safety Incidents & OSHA Reporting	Record incidents/near-misses; severity, location, description, involved employees; workflow for investigation and corrective actions; generate OSHA summary.	Improve safety culture and meet regulatory reporting requirements.	High	E02,E03	POST /safety/incidents with validation; status workflow (OpenâInvestigatingâResolved); export OSHA 300/300A fields; metrics dashboard endpoints available.
	E09	Equipment & Asset Assignment	Assign scanners, forklifts, and PPE to employees; track checkout/return; prevent use if certification missing; maintain asset condition state.	Accountability for assets and safe equipment operation.	Medium	E02,E03,E07	Asset registry CRUD; check-in/out endpoints; blocks when certs invalid; history log visible per asset and employee; reports of overdue returns.
	E10	Performance Reviews & Goals	Create quarterly/annual review templates; track goals, competencies, ratings, comments; supervisor/employee acknowledgements.	Structured feedback loop to improve productivity and retention.	Medium	E02,E03	Create review cycles; assign to employees; submit/acknowledge workflow; PDF export; role-based visibility; immutable history after sign-off.
	E11	Payroll Export Integration	Generate payroll-ready files from approved attendance and leave; mapping to external payroll provider formats; secure delivery (SFTP/API).	Reduce manual processing and errors in payroll runs.	High	E04,E06	Exports match provider schema; totals reconcile with reports; failed deliveries retried with backoff; audit log for every export.
	E12	Notifications & Announcements	In-app and email/SMS notifications for shift changes, expiring certs, approvals, announcements; quiet hours configuration.	Keep frontline workers and supervisors informed in real time.	Medium	E03,E05,E06,E07	Users opt-in/out per channel; templates localized; delivery status tracked; rate limits applied; announcements visible on dashboard.
	E13	Integration Layer (HRIS/WMS APIs)	Expose REST APIs and connectors for HRIS (new hires/terms), WMS (location/department), and IDP for SSO; webhooks for events.	Synchronize master data and reduce duplicate entry.	High	E01,E02,E03	JWT/OAuth2-secured APIs; HRIS sync job creates/updates employees; WMS link for department/location; idempotent webhooks; API documented in OpenAPI.
	E14	Audit Trail & Compliance	Centralized audit logging for sensitive changes (employee PII, schedules, approvals, payroll); tamper-evident storage.	Meet audit/compliance needs and enable forensic analysis.	High	E03	Every create/update/delete has actor, timestamp, before/after; immutable log table; export by date/user/entity; tests validate coverage.
	E15	Reporting & Analytics	Operational reports: attendance, overtime, leave balances, certification status, safety KPIs; export CSV/PDF; basic role-based dashboards.	Data-driven decisions for staffing, safety, and compliance.	Medium	E04,E05,E06,E07,E08,E14	Reports filter by date, department, shift; exports within 10s for 50k rows; access controlled; metrics endpoints available for BI.
	E16	Mobile Access (PWA)	Responsive views for workers to clock-in/out, view schedules, request leave, see announcements; offline-friendly via PWA.	Frontline usability on shared or personal devices.	Medium	E04,E05,E06,E12	Core flows usable on mobile; installable PWA manifest; offline queue for clock events with conflict resolution; Lighthouse PWA score â¥ 80.
	E17	Onboarding & Offboarding Workflow	Automate provisioning of accounts, initial schedule, required training; deprovision access and assets on termination.	Reduce cycle time and risk during employee lifecycle changes.	Medium	E02,E03,E05,E07,E09,E13	New hires appear from HRIS; tasks generated for training and asset assignment; offboarding revokes access, collects assets, and updates schedules.
	E18	Localization & MultiâTenant	Support English/Spanish UI; tenant-specific configs (geofence, policies); timezone-aware date/time handling.	Serve diverse workforce and multiple warehouse locations.	Low	E02	i18n keys for labels/messages; tenant ID in all queries; timezone stored per user; date/time displayed in user's locale.
